FirstName,LastName,TransactionDate,Product,Price,Region,Segment
Emily,Garcia,2021-01-01,Tablet,383.98,New York,Frequent Buyer
Sophia,Davis,2021-01-01,,392.57,California,Frequent Buyer
John,Johnson,2021-01-01,Tablet,375.22,California,Price-Sensitive
John,Wilson,2021-01-01,Headphones,232.0,New York,Price-Sensitive
Sarah,Jones,2021-01-01,Laptop,796.12,Texas,Frequent Buyer
Emily,Williams,2021-01-01,Smartwatch,446.9,Florida,Price-Sensitive
Daniel,Garcia,2021-01-02,Smartphone,1300.62,Texas,Premium Buyer
Emma,Garcia,2021-01-02,Smartwatch,214.77,Georgia,Frequent Buyer
James,Smith,2021-01-02,Smartwatch,459.41,Georgia,Price-Sensitive
John,Martinez,2021-01-02,Smartwatch,538.0,Florida,Price-Sensitive
Emily,Wilson,2021-01-02,Tablet,721.56,Illinois,Occasional Buyer
John,Johnson,2021-01-02,Tablet,579.7,Texas,Price-Sensitive
Daniel,Williams,2021-01-02,Headphones,51.46,Illinois,Price-Sensitive
Emma,Martinez,2021-01-02,Headphones,341.15,Illinois,Frequent Buyer
Emily,Wilson,2021-01-03,Smartphone,700.33,Texas,Price-Sensitive
Sophia,Davis,2021-01-03,Headphones,88.76,Ohio,Price-Sensitive
David,Martinez,2021-01-03,Tablet,339.21,Florida,Occasional Buyer
David,Brown,2021-01-03,Tablet,647.99,Georgia,Occasional Buyer
Emily,Martinez,2021-01-03,Smartwatch,406.03,New York,Price-Sensitive
Sophia,Davis,2021-01-03,Tablet,608.38,California,Frequent Buyer
James,Jones,2021-01-03,Smartphone,566.8,Florida,Occasional Buyer
Sarah,Jones,2021-01-04,Smartphone,,Texas,Frequent Buyer
John,Johnson,2021-01-04,Headphones,55.43,Michigan,Occasional Buyer
David,Williams,2021-01-04,Laptop,753.79,California,Price-Sensitive
Daniel,Williams,2021-01-04,Smartphone,1103.06,Texas,Premium Buyer
John,Miller,2021-01-05,Tablet,857.87,Florida,Price-Sensitive
Emma,Garcia,2021-01-05,Laptop,1436.47,Georgia,Frequent Buyer
James,Jones,2021-01-05,Smartphone,1074.68,Florida,Occasional Buyer
John,Johnson,2021-01-05,Laptop,813.44,Michigan,Occasional Buyer
Michael,Garcia,2021-01-05,Smartphone,708.77,California,Occasional Buyer
Emily,Wilson,2021-01-06,Headphones,214.9,Texas,Price-Sensitive
John,Wilson,2021-01-07,Laptop,1251.41,New York,Price-Sensitive
David,Brown,2021-01-07,Laptop,939.26,Georgia,Occasional Buyer
Olivia,Martinez,2021-01-08,Smartphone,1273.32,New York,Frequent Buyer
Olivia,Miller,2021-01-08,Tablet,,New York,
John,Johnson,2021-01-08,Tablet,546.15,Texas,Price-Sensitive
John,Johnson,2021-01-08,Smartwatch,570.15,Texas,Price-Sensitive
Emily,Wilson,2021-01-08,Headphones,175.62,,
John,Martinez,2021-01-08,Laptop,832.44,Florida,Price-Sensitive
Daniel,Williams,2021-01-08,Smartphone,392.29,Illinois,Price-Sensitive
Olivia,Miller,2021-01-09,Tablet,956.55,New York,Frequent Buyer
Olivia,Martinez,2021-01-09,Tablet,901.05,Illinois,Frequent Buyer
Sophia,Davis,2021-01-09,Headphones,301.23,California,Frequent Buyer
Olivia,Martinez,2021-01-09,Laptop,,Illinois,Frequent Buyer
Olivia,Wilson,2021-01-09,Headphones,330.48,New York,Premium Buyer
Daniel,Williams,2021-01-09,Laptop,1311.24,Texas,Premium Buyer
James,Miller,2021-01-09,Headphones,235.63,Illinois,Frequent Buyer
John,Johnson,2021-01-10,Headphones,86.75,Texas,Price-Sensitive
Sophia,Davis,2021-01-10,Headphones,273.36,California,Frequent Buyer
David,Williams,2021-01-10,Tablet,616.88,California,Price-Sensitive
Sarah,Williams,2021-01-10,Smartphone,1226.09,New York,Occasional Buyer
James,Jones,2021-01-10,Smartwatch,203.11,New York,Price-Sensitive
David,Miller,2021-01-10,Headphones,142.2,Michigan,Occasional Buyer
James,Davis,2021-01-10,Tablet,572.99,Georgia,Frequent Buyer
Michael,Williams,2021-01-10,Tablet,656.73,Ohio,Frequent Buyer
James,Miller,2021-01-11,Tablet,861.68,Illinois,Frequent Buyer
James,Smith,2021-01-11,Tablet,887.75,Georgia,Price-Sensitive
James,Smith,2021-01-11,Laptop,1539.3,Georgia,Price-Sensitive
James,Johnson,2021-01-11,Laptop,1522.52,Florida,Frequent Buyer
John,Johnson,2021-01-11,Tablet,779.3,California,Price-Sensitive
Sophia,Williams,2021-01-11,Smartphone,684.53,New York,Frequent Buyer
Emily,Brown,2021-01-11,Smartwatch,621.1,Illinois,Frequent Buyer
Olivia,Wilson,2021-01-11,,343.43,New York,Premium Buyer
David,Brown,2021-01-11,Smartwatch,181.49,Georgia,Occasional Buyer
James,Jones,2021-01-11,Smartwatch,641.88,Florida,Occasional Buyer
Sophia,Miller,2021-01-12,Tablet,1153.09,Florida,Premium Buyer
Daniel,Smith,2021-01-12,Smartphone,700.13,New York,Price-Sensitive
James,Jones,2021-01-12,Smartphone,723.76,New York,
James,Jones,2021-01-12,Smartwatch,337.24,New York,Price-Sensitive
Sophia,Jones,2021-01-12,Laptop,1098.8,California,Frequent Buyer
Sophia,Jones,2021-01-13,Smartphone,830.9,California,Frequent Buyer
Olivia,Martinez,2021-01-13,Headphones,113.95,New York,Frequent Buyer
Sophia,Wilson,2021-01-13,Smartwatch,347.54,California,Occasional Buyer
John,Wilson,2021-01-13,Laptop,1517.8,New York,Price-Sensitive
Emily,Williams,2021-01-14,Smartphone,757.84,Florida,Price-Sensitive
John,Wilson,2021-01-14,Laptop,815.04,New York,Price-Sensitive
David,Martinez,2021-01-14,Smartwatch,470.31,Florida,
Emily,Wilson,2021-01-14,Headphones,91.13,Texas,Price-Sensitive
Sarah,Wilson,2021-01-14,Smartwatch,600.2,Texas,Premium Buyer
